Created with UCDetector 1.10.0	2016-05-14 13:33:23	http://www.ucdetector.org/	
Location	Description	Java	Marker	Author
net.sf.freecol.common.model.mission.AbstractMission.<init>(AbstractMission.java:35)	Change visibility of Class "AbstractMission" to default - May cause compile errors!	AbstractMission	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.mission.AbstractMission.AbstractMission(AbstractMission.java:72)	Change visibility of Constructor "AbstractMission.AbstractMission(Game)" to default	AbstractMission.AbstractMission(Game)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.mission.AbstractMission.AbstractMission(AbstractMission.java:83)	Change visibility of Constructor "AbstractMission.AbstractMission(Game,FreeColXMLReader)" to default	AbstractMission.AbstractMission(Game,FreeColXMLReader)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.mission.AbstractMission.AbstractMission(AbstractMission.java:94)	Change visibility of Constructor "AbstractMission.AbstractMission(Game,String)" to default	AbstractMission.AbstractMission(Game,String)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.mission.AbstractMission.isValidFor(AbstractMission.java:166)	Method "AbstractMission.isValidFor(Unit)" has 0 references	AbstractMission.isValidFor(Unit)	org.ucdetector.analyzeMarkerReference	
net.sf.freecol.common.model.mission.Mission.<init>(Mission.java:35)	Change visibility of Interface "Mission" to default - May cause compile errors!	Mission	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.mission.Mission.<init>(Mission.java:37)	Change visibility of Enum "Mission.MissionState" to default - May cause compile errors!	Mission.MissionState	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.mission.Mission.BLOCKED(Mission.java:49)	EnumConstant "Mission.MissionState.BLOCKED" has 0 references	Mission.MissionState.BLOCKED	org.ucdetector.analyzeMarkerReference	
net.sf.freecol.common.model.mission.Mission.ABORTED(Mission.java:54)	EnumConstant "Mission.MissionState.ABORTED" has 0 references	Mission.MissionState.ABORTED	org.ucdetector.analyzeMarkerReference	
net.sf.freecol.common.model.mission.MissionManager.<init>(MissionManager.java:39)	Change visibility of Class "MissionManager" to default - May cause compile errors!	MissionManager	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.mission.MissionManager.isMissionTag(MissionManager.java:67)	Method "MissionManager.isMissionTag(String)" has 0 references	MissionManager.isMissionTag(String)	org.ucdetector.analyzeMarkerReference	
net.sf.freecol.common.model.mission.MissionManager.getMission(MissionManager.java:80)	Change visibility of Method "MissionManager.getMission(Game,FreeColXMLReader)" to default	MissionManager.getMission(Game,FreeColXMLReader)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.sf.freecol.common.model.mission.ImprovementMission.<init>(ImprovementMission.java:39)	Change visibility of Class "ImprovementMission" to default - May cause compile errors!	ImprovementMission	org.ucdetector.analyzeMarkerVisibilityDefault	
